# Dark Matter Relic Abundance for Singlet-Doublet Model
#############################################
# Parameter explanation:
# mS: mass parameter of the singlet scalar
# mD: mass parameter of the doublet scalar
# YChi: Yukawa coupling of the singlet scalar to the doublet scalar
# ThetaY: mixing angle between the two Yukawa couplings, defined as ArcTan(Y2/Y1)
# MN1, MN2, MN3: mass eigenvalues of the neutralino-like Majorana fermions
# MChi: physical mass of the chargino-like Dirac fermion
# Xf: dimensionless freeze-out temperature parameter
# Omegah2: dark matter relic density times dimensionless Hubble rate squared
# Note: The masses are in GeV, ThetaY is in radians
# Format: mS,mD,YChi,ThetaY,Xf,Omegah2
#############################################
mS,mD,YChi,ThetaY,MN1,MN2,MN3,MChi,Xf,Omegah2
1900.00,1400.00,1.00,1.57,1371.61,1404.59,1932.98,1400.00,27.03,1.45e-01
2000.00,1400.00,1.00,1.57,1375.92,1404.46,2028.53,1400.00,27.07,1.48e-01
1500.00,1500.00,1.00,1.57,1379.49,1505.05,1625.56,1500.00,26.55,1.11e-01
1600.00,1500.00,1.00,1.57,1418.72,1504.89,1686.17,1500.00,26.70,1.20e-01
1700.00,1500.00,1.00,1.57,1442.33,1504.74,1762.40,1500.00,26.81,1.37e-01
1800.00,1500.00,1.00,1.57,1456.52,1504.59,1848.07,1500.00,26.90,1.50e-01
1900.00,1500.00,1.00,1.57,1465.52,1504.46,1938.94,1500.00,26.98,1.59e-01
2000.00,1500.00,1.00,1.57,1471.59,1504.33,2032.74,1500.00,27.02,1.64e-01
1600.00,1600.00,1.00,1.57,1479.33,1604.74,1725.41,1600.00,26.52,1.26e-01
1700.00,1600.00,1.00,1.57,1518.62,1604.59,1785.97,1600.00,26.66,1.36e-01
1800.00,1600.00,1.00,1.57,1542.27,1604.46,1862.18,1600.00,26.78,1.55e-01
1900.00,1600.00,1.00,1.57,1556.49,1604.33,1947.84,1600.00,26.86,1.69e-01
2000.00,1600.00,1.00,1.57,1565.50,1604.21,2038.71,1600.00,26.94,1.78e-01
1700.00,1700.00,1.00,1.57,1579.18,1704.46,1825.28,1700.00,26.49,1.42e-01
1800.00,1700.00,1.00,1.57,1618.53,1704.33,1885.80,1700.00,26.63,1.53e-01
1900.00,1700.00,1.00,1.57,1642.22,1704.21,1961.99,1700.00,26.75,1.74e-01
2000.00,1700.00,1.00,1.57,1656.46,1704.10,2047.64,1700.00,26.83,1.89e-01
1800.00,1800.00,1.00,1.57,1679.05,1804.21,1925.16,1800.00,26.46,1.59e-01
1900.00,1800.00,1.00,1.57,1718.45,1804.10,1985.64,1800.00,26.60,1.72e-01
2000.00,1800.00,1.00,1.57,1742.18,1803.99,2061.81,1800.00,26.71,1.94e-01
1900.00,1900.00,1.00,1.57,1778.93,1903.99,2025.06,1900.00,26.44,1.77e-01
2000.00,1900.00,1.00,1.57,1818.38,1903.89,2085.50,1900.00,26.57,1.91e-01
2000.00,2000.00,1.00,1.57,1878.83,2003.79,2124.96,2000.00,26.41,1.97e-01
1000.00,1000.00,1.00,2.36,825.90,1000.00,1174.10,1000.00,25.67,2.10e-01
1100.00,1000.00,1.00,2.36,868.86,1000.00,1231.14,1000.00,25.76,2.12e-01
1200.00,1000.00,1.00,2.36,899.22,1000.00,1300.78,1000.00,25.96,1.98e-01
1300.00,1000.00,1.00,2.36,920.19,1000.00,1379.81,1000.00,26.21,1.79e-01
1400.00,1000.00,1.00,2.36,934.84,1000.00,1465.16,1000.00,26.41,1.63e-01
1500.00,1000.00,1.00,2.36,945.35,1000.00,1554.65,1000.00,26.56,1.51e-01
